date,trips,avg_dist,avg_fare,avg_dur,revenue
2023-03-02,113889,3.27,18.48,15.8,3146791.0
2023-03-03,111083,3.19,17.89,15.1,2984158.0
2023-03-04,107472,3.11,17.48,14.2,2736731.0
2023-03-05,92356,3.81,19.5,14.5,2608564.0
2023-03-06,89720,3.59,19.2,15.4,2560869.0
2023-03-07,109056,3.09,17.74,15.0,2913482.0
2023-03-08,113840,3.18,18.49,16.1,3147292.0
2023-03-09,116533,3.23,18.57,16.1,3228805.0
2023-03-10,115606,3.22,18.33,16.1,3177482.0
2023-03-11,106015,3.16,17.5,14.0,2710711.0
2023-03-12,90626,3.87,19.56,14.9,2571077.0
2023-03-13,95917,3.48,18.92,15.6,2707544.0
2023-03-14,102668,3.2,17.94,14.9,2761571.0
2023-03-15,114394,3.3,19.16,16.9,3252464.0
2023-03-16,118583,3.36,19.45,17.4,3414927.0
2023-03-17,107635,3.43,19.62,17.2,3112328.0
2023-03-18,115703,3.25,18.05,14.7,3028120.0
2023-03-19,95609,3.93,20.17,15.1,2789538.0
2023-03-20,87614,3.91,20.14,15.9,2613652.0
2023-03-21,97463,3.43,18.93,15.8,2743496.0
2023-03-22,101569,3.37,18.89,15.8,2859362.0
2023-03-23,108827,3.44,19.23,16.6,3112106.0
2023-03-24,105867,3.46,18.75,15.4,2967456.0
2023-03-25,109525,3.16,17.51,14.1,2800253.0
2023-03-26,89514,4.02,20.4,15.2,2635082.0
2023-03-27,91968,3.69,19.33,15.4,2651968.0
2023-03-28,99993,3.39,18.83,15.6,2800545.0
2023-03-29,106648,3.38,18.93,16.1,3006085.0
2023-03-30,113842,3.38,19.16,16.7,3237237.0
2023-03-31,109613,3.48,19.01,15.9,3104398.0
2023-04-01,110622,3.27,17.99,14.4,2890548.0
2023-04-02,94857,3.92,19.97,14.9,2729472.0
2023-04-03,92786,3.64,19.59,16.0,2678138.0
2023-04-04,103928,3.33,18.32,14.9,2839685.0
2023-04-05,110589,3.2,18.69,16.5,3061413.0
2023-04-06,103558,3.48,18.87,15.2,2905579.0
2023-04-07,101302,3.36,18.14,14.2,2740992.0
2023-04-08,96795,3.16,17.43,13.7,2447063.0
2023-04-09,84272,3.9,19.71,14.6,2392265.0
2023-04-10,85967,3.88,20.16,15.8,2554460.0
2023-04-11,100698,3.51,19.17,15.6,2865013.0
2023-04-12,108311,3.34,18.65,15.3,3010167.0
2023-04-13,116342,3.36,19.06,16.2,3289013.0
